Date,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS
2020-01-02,,,,
2020-01-03,,,,
2020-01-06,,,,
2020-01-07,,,,
2020-01-08,,,,
2020-01-09,,,,
2020-01-10,,,,
2020-01-13,,,,
2020-01-14,,,,
2020-01-15,,,,
2020-01-16,,,,
2020-01-17,,,,
2020-01-20,,,,
2020-01-21,,,,
2020-01-22,,,,
2020-01-23,,,,
2020-01-24,,,,
2020-01-27,,,,
2020-01-28,,,,
2020-01-29,,,,
2020-01-30,,,,
2020-01-31,,,,
2020-02-03,,,,
2020-02-04,,,,
2020-02-05,,,,
2020-02-06,,,,
2020-02-07,,,,
2020-02-10,,,,
2020-02-11,,,,
2020-02-12,0.19698718508445723,0.22169212755269643,0.25359656947609954,0.1924787408303341
2020-02-13,0.19640468885617662,0.22397130129247625,0.24819950241717942,0.19386953204018226
2020-02-14,0.1986893303067324,0.22238378072032766,0.24993127965120604,0.18535936154190238
2020-02-17,0.1890731587814257,0.21976968305837544,0.24153188155486158,0.18711795415921176
2020-02-18,0.1826561290166361,0.2147910059903573,0.23756746709387744,0.18768892337783852
2020-02-19,0.18625779982857388,0.20903973124931852,0.2482887705600681,0.17723556353318978
2020-02-20,0.183923463344927,0.20836169777042096,0.24053239479176974,0.17712655094528
2020-02-24,0.1817191955485041,0.20587302171863583,0.25230663538516035,0.1850303287722314
2020-02-25,0.18204401409126297,0.15467070645306233,0.257413229802082,0.19226650946498422
2020-02-26,0.18149112943097684,0.1657716249790673,0.2601874363542018,0.19532873835328687
2020-02-27,0.18155799002780065,0.16383586429138405,0.260201991369471,0.1939978264162796
2020-02-28,0.1866737230025559,0.23861200027369028,0.28028168630124045,0.23790590799126005
2020-03-02,0.18662900221499376,0.2420747770988468,0.2627366622289897,0.23766486227823505
2020-03-03,0.18104275097967412,0.24346356112499629,0.26251075199806145,0.2381412601233439
2020-03-04,0.19532656713072383,0.24714678721999947,0.26210517872976075,0.2489116397742712
2020-03-05,0.19581053306659396,0.24570917461854344,0.26631942393560953,0.25132482594612143
2020-03-06,0.19799104214024685,0.24566468839996147,0.2763925845260342,0.2512138837117038
2020-03-09,0.2071593248819242,0.27790266890919746,0.4382473760025284,0.31767948355368714
2020-03-11,0.1986829802887091,0.28562913074472795,0.45750090505278684,0.3180644234523571
2020-03-12,0.3033320116323741,0.3600085811957541,0.4992004201732995,0.41113640804612084
2020-03-13,0.3376837105047942,0.361463497135918,0.5181564526687852,0.4180382049008149
2020-03-16,0.38137514630787595,0.4383821292488486,0.5572112050870163,0.4477708915633276
2020-03-17,0.3842770321804807,0.4525838371638946,0.5562687241443496,0.44607933339308614
2020-03-18,0.46735078902576466,0.4590623433160676,0.5620385825235021,0.4429511132597918
2020-03-19,0.4607638724222625,0.45528636263353817,0.5606032043638345,0.442092209757629
2020-03-20,0.4560470160905236,0.516755721912554,0.6603727893064172,0.5344936974570464
2020-03-23,0.5642204184966421,0.5803211580609953,0.7447057306391576,0.5676838807304446
2020-03-24,0.5627648661586035,0.6941691424549261,0.7821717484628339,0.5723373938884772
2020-03-25,0.6788179495034596,0.7019710924804299,0.9087926926340534,0.5785805457952921
2020-03-26,0.7024782478254534,0.7288339284710169,0.9070523696918291,0.5847958944460601
2020-03-27,0.7019141287476246,0.7299526744426355,0.9052763633735497,0.5877133396635054
2020-03-30,0.7310708357281092,0.7343912005040928,0.9071506959921487,0.5888892437672175
2020-03-31,0.7442215399279699,0.7396359043652259,0.9435658154942538,0.5965027557826437
2020-04-01,0.7477906969519896,0.7556431733462629,0.9456949727231856,0.6189749395567644
2020-04-03,0.7476544414765098,0.7558616931960084,0.9458437930831114,0.6216325511767171
2020-04-07,0.8143383408017673,0.8092409588662313,1.0122231341798709,0.6653598234449931
2020-04-08,0.814340440548687,0.8093654483555394,1.0122065956941109,0.6715351162173339
2020-04-09,0.8270339533847273,0.8102427048574571,1.0132478609282909,0.6813630374254402
2020-04-13,0.830084482492513,0.8101122773001854,1.0141295530971175,0.6775259081402333
2020-04-15,0.8335006979577054,0.8094808349495058,1.0169752344458363,0.6773683991373245
2020-04-16,0.8372042301943767,0.8112183496038141,1.0186618068023716,0.6775003010263387
2020-04-17,0.8461164099686379,0.7961169831282092,1.022774253050581,0.6843162552153116
2020-04-20,0.8558868844847413,0.804474838039345,1.0235765968567725,0.6847875972671597
2020-04-21,0.8572145796506094,0.8077236460334783,1.021876143831794,0.6929797129669307
2020-04-22,0.8558023990463918,0.8073011608949225,1.064339279634565,0.69149478317634
2020-04-23,0.8612360013771362,0.8274452957972392,1.0619045534505713,0.7141767456893752
2020-04-24,0.8616198216870543,0.8300814380168776,1.0602180116977666,0.7190773624602865
2020-04-27,0.8597555278286543,0.820087023527009,0.986941801930568,0.6935746682558602
2020-04-28,0.859416695718802,0.816695879640407,0.9845175595244591,0.6941802485963147
2020-04-29,0.8395749855888086,0.78317980254624,0.949671779745009,0.6381896914015919
2020-04-30,0.8310583792004448,0.7978600117113479,0.9471415519492445,0.6552309630131471
2020-05-04,0.8406301482880767,0.767642782107041,0.9116618239901776,0.6407794748157054
2020-05-05,0.8384894695105608,0.7505218583620762,0.9096090325885577,0.6354380368383713
2020-05-06,0.790091103389545,0.7408511116685943,0.8966884360337855,0.6380014293219568
2020-05-07,0.7918713189977377,0.7403814694662912,0.8743132252034088,0.6383773619077576
2020-05-08,0.7903422890195891,0.7146802575824215,0.8328408777716957,0.5745237951169444
2020-05-11,0.6921186026228536,0.6400712587888499,0.706995295924456,0.532996833051128
2020-05-12,0.6943358392730536,0.5470219338052608,0.7313110572704703,0.5312507337600934
2020-05-13,0.616259043058933,0.5431488270054523,0.6173379825530805,0.5270397876120111
2020-05-14,0.609146952171554,0.5409613103617017,0.6312654625441457,0.5300521274915612
2020-05-15,0.6093616848801752,0.5401271238346972,0.6304674640002395,0.5282116768642948
2020-05-18,0.5865603702350073,0.5283936322849961,0.6206955704760814,0.5270506751479054
2020-05-19,0.577149253685546,0.5248004218369624,0.5929622207612084,0.5224367725587975
2020-05-20,0.573650163782424,0.4905714375414158,0.5818760323177155,0.4823875613492798
2020-05-21,0.5702659330180887,0.48091080076551684,0.5807567599344948,0.47109652854289213
2020-05-22,0.4922042541015912,0.41399009920945967,0.48229270699450855,0.42783214238232253
2020-05-26,0.4944985652105926,0.41596068884267184,0.48058055834084523,0.4269431894328763
2020-05-27,0.5116364804393273,0.42720414156731773,0.4786962757179509,0.42484267609900317
